
modality,type,description,citation
general,Recovery,"Very easy workout meant for recovery, to allow the body to recover; should feel guilty for going easy.",file:///home/oai/redirect.html
general,Aerobic Endurance,"Workout focused on maintaining a higher speed for longer while staying aerobic, such as running in heart‑rate Zone 2.",file:///home/oai/redirect.html
general,Steady State,"Even‑paced aerobic workout (e.g., zone 2 ride for several hours).",file:///home/oai/redirect.html
general,Tempo,Harder effort close to a 10‑km race pace.,file:///home/oai/redirect.html
general,Lactate Threshold,Training near the point where aerobic respiration shifts to anaerobic; improves lactate processing and glycogen conservation.,file:///home/oai/redirect.html
general,VO2 Max,"Workouts at VO2 max to improve oxygen usage, speed and power.",file:///home/oai/redirect.html
general,Breakthrough (BT),Important workout intended to cause a significant positive adaptation.,file:///home/oai/redirect.html
general,Brick,"Doing one workout immediately after another (e.g., bike run) to prepare for triathlon transitions.",file:///home/oai/redirect.html
general,Time Trial,Best effort over a given distance or time to measure performance.,file:///home/oai/redirect.html
run,Recovery Run,"Short, easy‑paced run performed within 24 hours after a hard session; used for active recovery.",youraustinmarathon.com/wp-content/uploads/2019/06/9-types-of-runs.pdf#:~:text=A%20relatively%20short%2C%20easy,RECOVERY
run,Base Run,Short to moderate‑length run meant to be easy and done frequently for aerobic development.,youraustinmarathon.com/wp-content/uploads/2019/06/9-types-of-runs.pdf#:~:text=It%20is%20a%20short%20to,uses%20the%20muscles%20of%20the
run,Long Run,Longest run of the week; comfortable pace to build endurance and familiarise the body and mind with race challenges.,nuinwardbound.com/wp-content/uploads/2022/08/CCHN_Training_Block_1.pdf#:~:text=LONG%20RUNS%20You%20need%20endurance,and%20as%20a%20Progression%20Run
run,Hill Repeats,Repeatedly running fast up a hill with slow jog/walk back; builds leg strength and running economy.,youraustinmarathon.com/wp-content/uploads/2019/06/9-types-of-runs.pdf#:~:text=legs%2C%20arms%20and%20core%20in,intensity%20sprint%2C%20as
run,Progression Run,Run with pace increasing from beginning to end; combines endurance and speed.,youraustinmarathon.com/wp-content/uploads/2019/06/9-types-of-runs.pdf#:~:text=A%20run%20with%20a%20structured,PROGRESSION
run,Sprint Run,Workout consisting of short distances at faster than normal pace with multiple repeats.,youraustinmarathon.com/wp-content/uploads/2019/06/9-types-of-runs.pdf#:~:text=Sprint%20workouts%20mean%20to%20run,SPRINTS
run,Tempo Run,Run at a comfortably hard pace maintained for a longer period; slower than race pace.,youraustinmarathon.com/wp-content/uploads/2019/06/9-types-of-runs.pdf#:~:text=A%20Tempo%20run%20refers%20to,TEMPO
run,Interval Run,Mix of low‑moderate and high‑intensity runs; short periods of fast effort followed by longer periods of jogging or walking.,youraustinmarathon.com/wp-content/uploads/2019/06/9-types-of-runs.pdf#:~:text=IA%20mixture%20of%20low,longer%20periods%20of%20jogging%C2%A0or%20walking
run,Fartlek Run,Swedish for 'speed play'; similar to intervals but less structured; mixes jogging and sprinting or walking and running.,youraustinmarathon.com/wp-content/uploads/2019/06/9-types-of-runs.pdf#:~:text=Fartlek%20is%20Swedish%20for%20%E2%80%9Cspeed,with%20jogging%20sections%20added%20in
run,Speed Run,"Speed workouts and drills, including short and long intervals, fartlek, hill workouts and tempo runs, to build speed.",nuinwardbound.com/wp-content/uploads/2022/08/CCHN_Training_Block_1.pdf#:~:text=Run%20Type%20Glossary%20SPEED%20RUNS,hill%20workouts%20and%20tempo%20runs
run,Recovery Run (Inward Bound),Easy run based on how you feel to help recover at the highest quality possible after intense training.,nuinwardbound.com/wp-content/uploads/2022/08/CCHN_Training_Block_1.pdf#:~:text=RECOVERY%20RUNS%20Recovering%20from%20your,training%20includes%20two%20recovery%20runs
bike,Recovery Ride,Low‑intensity ride (RPE 0‑4) for 30‑60 minutes; like taking a walk on your bike; engages active recovery without training stress.,https://trainright.com/key-cycling-workouts/#:~:text=Recovery%20Miles
bike,Foundation Ride,Easy endurance ride where intensity is centered in the endurance zone; enhances the body's ability to use fat as fuel.,https://trainright.com/key-cycling-workouts/#:~:text=TYPICAL%20DURATION%3A%2060%20MINS
bike,Endurance Ride,Moderate intensity aerobic ride spanning endurance and tempo zones; maintain moderate effort for 60 minutes to 4 hours.,https://trainright.com/key-cycling-workouts/#:~:text=TYPICAL%20DURATION%3A%2060%20MINS
bike,Fast Group Ride,"Unstructured, high‑intensity ride across all energy systems; simulates racing conditions; average intensity often falls in the tempo zone.",https://trainright.com/key-cycling-workouts/#:~:text=Fast%20Group%20Rides%2FRace%20Simulations
bike,Aerobic Tempo Intervals,Intervals focusing effort on the lower end of the tempo zone; intensity just above the aerobic threshold but below lactate threshold.,https://trainright.com/key-cycling-workouts/#:~:text=Tempo%20intervals%20focus%20effort%20on,a%20long%20period%20of%20time
bike,Sweet Spot Intervals,Intervals working in the intensity between the top of the tempo zone and the bottom of the threshold zone to improve threshold power and endurance.,https://trainright.com/key-cycling-workouts/#:~:text=Sweet%20Spot%20Tempo%20intervals%20,FTP
bike,Steady State Intervals,Threshold zone intervals aimed at improving lactate threshold power; strenuous but effective for increasing FTP.,https://trainright.com/key-cycling-workouts/#:~:text=Steady%20State%20intervals%20focus%20directly,FTP
bike,Over‑Under Intervals,Threshold‑based intervals that alternate between slightly below and slightly above threshold (FTP) to improve race specificity.,https://trainright.com/key-cycling-workouts/#:~:text=Over%20Unders%20are%20Threshold%20based,paceline%20riding%20and%20time%20trialing
bike,Climbing Repeat/TT,Intervals at the top of the threshold zone to replicate climbing or time trial efforts; sustained maximal effort for 6‑15 minutes.,https://trainright.com/key-cycling-workouts/#:~:text=Climbing%20Repeats%20and%20Time%20Trial,and%20effort%20level%20should%20be
bike,Hill Accelerations,Threshold intervals that finish with a surge into VO2 max; used to practice punching over climbs.,https://trainright.com/key-cycling-workouts/#:~:text=Hill%20Accelerations%20are%20great%20race,starts%20at%20the%20top%20end
bike,Power Intervals,Short 2‑5‑minute intervals at near maximal intensity to improve maximal aerobic power and VO2 max.,https://trainright.com/key-cycling-workouts/#:~:text=Power%20Intervals%20improve%20your%20maximal,demand%20high%20in%20these%20intervals
bike,Speed Intervals,Very short intervals (20‑40 seconds) with short recovery; high‑intensity to stress aerobic and anaerobic systems.,https://trainright.com/key-cycling-workouts/#:~:text=Speed%20Intervals%20are%20very%20short,used%20by%20any%20athlete%20to
bike,Anaerobic Power Intervals,Intervals of 30‑90 seconds performed at maximum output to develop anaerobic power; rely on glycolytic energy pathway.,https://trainright.com/key-cycling-workouts/#:~:text=Anaerobic%20Power%20Intervals%20are%20always,These%20intervals
swim,HIIT Swim,High‑intensity interval training in the pool; 30‑60 seconds of fast swimming at 85–90 % effort followed by equal rest; improves VO2 max and is enjoyable.,https://www.yourswimlog.com/interval-training-swim-workouts/#:~:text=1.%20High
swim,Sprint Interval Swim,All‑out sprint intervals of under 30 seconds with long rest (~4 minutes); extremely high intensity.,https://www.yourswimlog.com/interval-training-swim-workouts/#:~:text=2
swim,Repeated Sprint Swim,Repeated sprints of about 10 seconds with relatively short rest (~60 seconds); improves speed and power; involves many reps.,https://www.yourswimlog.com/interval-training-swim-workouts/#:~:text=Repeated%20sprint%20training%20alternates%2010,has%20a%20lot%20more%20reps
swim,USRPT,"Ultra‑short race pace training: many repetitions at race pace with short rest; if pace is missed, rest or stop; designed to train race pace and technique.",https://www.yourswimlog.com/interval-training-swim-workouts/#:~:text=4
swim,Tabata Swim,Eight rounds of 20 seconds all‑out effort followed by 10 seconds rest; total set duration four minutes; extremely intense and improves VO2 max.,https://www.yourswimlog.com/interval-training-swim-workouts/#:~:text=5
swim,Fartlek Swim,Continuous swimming with random bursts of speed; Swedish for 'speed play'; increases breathing capacity and teaches gear changes; more engaging than steady‑state swimming.,https://www.yourswimlog.com/interval-training-swim-workouts/#:~:text=6
swim,Long Interval Swim,"Longer, sustained intervals lasting several minutes with less velocity than sprint training; builds endurance and improves technique.",https://www.yourswimlog.com/interval-training-swim-workouts/#:~:text=7
swim,Active Recovery Swim,"Easy swimming for recovery instead of resting at the wall, providing continuous aerobic effect while muscles recover.",www.gomotionapp.com/ohss/__doc__/SwimLingo.pdf#:~:text=Active%20Recovery,muscles%20and%20cardiovascular%20system%20recover
swim,Descend Set,Set in which each successive repeat is faster than the last; encourages progressive speed increase.,www.gomotionapp.com/ohss/__doc__/SwimLingo.pdf#:~:text=Descend%20Set,pace%20and%20then%20get%20faster
strength,Isotonic Strength Training,Exercises where muscles generate force while changing length (concentric and eccentric contractions).,file:///home/oai/redirect.html#:~:text=,the%20length%20of%20the%20muscle
strength,Concentric Strength,"Muscle shortens while generating force (e.g., lifting the weight in a bicep curl).",file:///home/oai/redirect.html#:~:text=A%20concentric%20contraction%20is%20a,to%20the%20sliding%20filament%20mechanism
strength,Eccentric Strength,"Muscle lengthens while under tension to decelerate movement or control the load (e.g., lowering the weight).",file:///home/oai/redirect.html#:~:text=Eccentric%20Contractions
strength,Isometric Strength Training,"Exercises where muscles generate force without changing length, such as holding a plank or gripping an object.",file:///home/oai/redirect.html#:~:text=,the%20length%20of%20the%20musclefile:///home/oai/redirect.html#:~:text=In%20contrast%20to%20isotonic%20contractions%2C,the%20object%20from%20being%20dropped
strength,Plyometric Training,Explosive body‑weight exercises using the stretch‑shortening cycle; quick pre‑stretch followed by powerful concentric contraction to develop maximal force quickly.,https://www.physio-pedia.com/Plyometrics#:~:text=Definition%5Bedit%20%20
strength,Circuit Training,"Workout method involving rotating through multiple exercises targeting different muscle groups with little or no rest; can be repetition, timed, competition or sport‑specific circuits.",https://www.verywellhealth.com/what-is-circuit-training-5224393#:~:text=Circuit%20training%20is%20a%20type,1
strength,Core Stability Training,"Exercises aimed at strengthening muscles that stabilize the trunk, hips and shoulders to protect the spine and transfer force; emphasizes creating 360° stiffness around the spine.",https://www.physio-pedia.com/Core_Stability#:~:text=The%20core%20is%20the%20centre,that%20the%20core%20actually%20includes
